Gender,Age,Height,Weight,Team,Sport,Won_Medal
F,27,163,NA,Norway,Handball,Yes
F,22,170,125,Romania,Weightlifting,No
M,22,187,89,Norway,Wrestling,No
M,26,187,89,Norway,Wrestling,No
M,24,NA,NA,Norway,Speed Skating,No
M,24,NA,NA,Norway,Speed Skating,No
M,27,NA,NA,Norway,Speed Skating,No
M,24,NA,NA,Norway,Gymnastics,Yes
F,17,169,65,Norway,Luge,No
M,26,NA,NA,Netherlands,Water Polo,No
M,43,170,77,Norway,Sailing,No
M,47,170,77,Norway,Sailing,No
F,22,NA,NA,Netherlands,Hockey,Yes
M,34,176,85,Norway,Alpine Skiing,Yes
M,25,167,55,Azerbaijan,Wrestling,Yes
M,29,167,55,Azerbaijan,Wrestling,Yes
M,33,167,55,Azerbaijan,Wrestling,No
F,21,170,47,Azerbaijan,Athletics,No
M,23,185,102,United States,Ice Hockey,Yes
M,35,NA,NA,Canada,Ice Hockey,Yes
F,26,NA,NA,Romania,Gymnastics,No
F,26,NA,NA,Romania,Gymnastics,No
F,26,NA,NA,Romania,Gymnastics,No
F,26,NA,NA,Romania,Gymnastics,No
M,22,168,68,Soviet Union,Wrestling,Yes
M,23,180,68,France,Cycling,Yes
M,27,180,68,France,Cycling,Yes
M,31,180,68,France,Cycling,No
M,35,180,68,France,Cycling,No
M,21,168,62,Ethiopia,Athletics,No
M,24,180,59,United States,Athletics,No
M,31,178,85,Germany,Ice Hockey,No
F,26,178,61,West Germany,Athletics,No
F,26,178,61,West Germany,Athletics,No
M,25,179,68,Russia,Figure Skating,No
F,25,160,57,Iran,Archery,No
M,27,173,74,Bangladesh,Athletics,No
M,27,180,79,Iraq,Football,No
F,22,171,56,Kazakhstan,Cross Country Skiing,No
F,26,171,56,Kazakhstan,Cross Country Skiing,No
F,26,171,56,Kazakhstan,Cross Country Skiing,No
F,26,171,56,Kazakhstan,Cross Country Skiing,No
F,26,171,56,Kazakhstan,Cross Country Skiing,No
F,22,182,70,Russia,Athletics,No
M,16,171,62,Italy,Swimming,No
M,16,171,62,Italy,Swimming,No
F,20,170,67,Poland,Snowboarding,No
M,27,192,85,Serbia,Volleyball,No
M,23,185,92,Yugoslavia,Water Polo,Yes
M,21,173,65,Germany,Archery,No
M,21,173,65,Germany,Archery,No
M,21,181,70,Czechoslovakia,Athletics,No
M,21,181,70,Czechoslovakia,Athletics,No
M,25,NA,NA,Greece,Football,No
M,26,NA,NA,Libellule de Paris-3,Swimming,No
M,24,NA,NA,Belgium,Athletics,No
M,34,173,68,Georgia,Athletics,No
M,24,163,60,Spain,Equestrianism,No
M,24,NA,NA,Soviet Union,Wrestling,No
M,22,NA,59,Austria,Weightlifting,No
M,23,NA,NA,Netherlands,Rowing,Yes
M,25,198,95,Poland,Basketball,No
M,21,175,64,Brunei,Athletics,No
M,29,174,88,Guatemala,Weightlifting,No
F,32,165,70,Germany,Shooting,No
M,19,182,72,West Germany,Table Tennis,No
M,19,182,72,West Germany-2,Table Tennis,No
M,23,182,72,Germany,Table Tennis,No
M,23,182,72,Germany,Table Tennis,Yes
M,27,182,72,Germany,Table Tennis,Yes
M,27,182,72,Germany,Table Tennis,No
M,31,182,72,Germany,Table Tennis,No
M,22,188,NA,Australia,Boxing,No
M,20,NA,NA,Canada,Athletics,No
M,20,NA,NA,Canada,Athletics,No
M,23,185,84,Canada,Rowing,No
M,23,185,83,Australia,Athletics,No
M,23,185,83,Australia,Athletics,No
M,31,185,83,Australia,Athletics,No
F,15,157,45,United States,Gymnastics,Yes
F,15,157,45,United States,Gymnastics,No
F,15,157,45,United States,Gymnastics,No
F,15,157,45,United States,Gymnastics,No
F,25,173,68,United States,Alpine Skiing,No
F,25,173,68,United States,Alpine Skiing,No
F,25,173,68,United States,Alpine Skiing,No
F,28,158,48,Guinea Bissau,Wrestling,No
F,27,165,66,Canada,Sailing,No
F,31,165,66,Canada,Sailing,No
M,25,179,83,New Zealand,Alpine Skiing,No
M,22,187,82,New Zealand,Sailing,No
M,26,187,82,New Zealand,Sailing,No
F,23,165,57,United States,Fencing,No
F,23,165,57,United States,Fencing,No
M,23,188,NA,United States,Water Polo,No
M,23,188,NA,United States,Swimming,No
M,23,188,NA,United States,Swimming,Yes
M,23,188,NA,United States,Swimming,Yes
M,23,188,NA,United States,Swimming,Yes
